seal_id,words,encoding 
1,vanigar nāyakan muttirai,1 1 7 9 2 1 
2,vanigar pon mai,1 1 3 12 46 5 
3,vanigar pon tēṭu,1 1 3 12 25 2 
4,nāyakan nāyakan muttirai,7 9 7 9 2 1 
5,maramudaiyan kadalkol cīlai,37 1 6 10 67 1 
6,vanigar pon oḻi,1 1 3 12 70 1 
7,nāyakan pāṇai velli okku,7 9 13 8 4 12 33 5 
8,vanigar cēvai muttirai,1 1 21 11 2 1 
9,ur maramudaiyan kānu,10 10 37 1 20 12 
10,vanigar velli āl,1 1 4 12 47 5 
11,nāyakan perun kadalkol mai,7 9 8 9 6 10 46 5 
12,perun ur il,8 9 10 10 48 5 
13,vanigar mālāi koḷ,1 1 41 12 26 2 
14,perun perun cīlai okku,8 9 8 9 67 1 33 5 
15,maramudaiyan vayil oḻi,37 1 12 10 70 1 
16,nāyakan velli muttirai,7 9 4 12 2 1 
17,arasar pāṇ payir,9 9 29 8 65 12 
18,vanigar cēvai cīlai,1 1 21 11 67 1 
19,nādu maramudaiyan kaasu,17 10 37 1 66 12 
20,nāyakan vayil eṭu,7 9 12 10 53 5 
21,perun arasar pāṇai okku,8 9 9 9 13 8 33 5 
22,nambi nādu mai mai,19 13 17 10 46 5 46 5 
23,vanigar pon koḷl,1 1 3 12 27 2 
24,arasar arasar oḻi,9 9 9 9 70 1 
25,maramudaiyan mavatta muttirai,37 1 18 10 2 1 
26,perun kānu cīlai,8 9 20 12 67 1 
27,utaiyavar koḷlaṭai velli,34 13 32 8 4 12 
28,vanigar cēvai oḻi okku,1 1 21 11 70 1 33 5 
29,kalam maramudaiyan kānu,23 10 37 1 20 12 
30,perun mavatta āl,8 9 18 10 47 5 
31,arasar pāṇai kānu,9 9 13 8 20 12 
32,iruvar kalam il,35 13 23 10 48 5 
33,vanigar mālāi māṭu mai,1 1 41 12 28 2 46 5 
34,arimai arimai muttirai,39 9 39 9 2 1 
35,maramudaiyan vaḻi cīlai okku,37 1 24 10 67 1 33 5 
36,arasar mālāi oḻi,9 9 41 12 70 1 
37,maramudaiyan aḷavu payir,37 1 36 8 65 12 
38,vanigar cēvai muttirai,1 1 21 11 2 1 
39,kōṭṭai maramudaiyan kaasu,57 10 37 1 66 12 
40,arasar vaḻi eṭu,9 9 24 10 53 5 
41,nambi pāṇ pāṇ,19 13 29 8 29 8 
42,arimai koḷlaṭai mai okku,39 9 32 8 46 5 33 5 
43,vanigar pon koṭu,1 1 3 12 38 2 
44,ampalam pēr cīlai mai,62 9 43 14 67 1 46 5 
45,maramudaiyan nilam oḻi,37 1 61 10 70 1 
46,nambi pēr muttirai,19 13 43 14 2 1 
47,ampalam pāṇai velli,62 9 13 8 4 12 
48,vanigar cēvai cīlai,1 1 21 11 67 1 
49,nāṭṭu maramudaiyan kānu okku,72 10 37 1 20 12 33 5 
50,nambi aḷavu āl,19 13 36 8 47 5 
51,utaiyavar koḷlaṭai mālāi,34 13 32 8 41 12 
52,makkal pēr il,64 13 43 14 48 5 
53,vanigar mālāi kaṇ,1 1 41 12 44 2 
54,perumai kālam oḻi,76 9 49 14 70 1 
55,maramudaiyan kadalkol muttirai mai,37 1 6 10 2 1 46 5 
56,utaiyavar kālam cīlai okku,34 13 49 14 67 1 33 5 
57,perumai pāṇ payir,76 9 29 8 65 12 
58,vanigar cēvai oḻi,1 1 21 11 70 1 
59,ur maramudaiyan kaasu,10 10 37 1 66 12 
60,utaiyavar kālam eṭu,34 13 49 14 53 5 
61,iruvar aḷavu vāy,35 13 36 8 54 14 
62,aracu kōṭṭai mai,77 9 57 10 46 5 
63,vanigar pon itta okku,1 1 3 12 51 2 33 5 
64,aracu vāy muttirai,77 9 54 14 2 1 
65,maramudaiyan vayil cīlai,37 1 12 10 67 1 
66,iruvar vāy oḻi mai,35 13 54 14 70 1 46 5 
67,kāval koḷlaṭai velli,85 9 32 8 4 12 
68,vanigar cēvai muttirai,1 1 21 11 2 1 
69,nādu maramudaiyan kānu,17 10 37 1 20 12 
70,iruvar peyar āl okku,35 13 59 14 47 5 33 5 
71,maramudaiyan arimai taṇmai,37 1 39 9 60 14 
72,manram nilam il,90 9 61 10 48 5 
73,vanigar mālāi teḷḷu,1 1 41 12 52 2 
74,kāval peyar cīlai,85 9 59 14 67 1 
75,maramudaiyan mavatta oḻi,37 1 18 10 70 1 
76,maramudaiyan peyar muttirai,37 1 59 14 2 1 
77,vanigar aḷavu payir okku mai,1 1 36 8 65 12 33 5 46 5 
78,vanigar cēvai cīlai,1 1 21 11 67 1 
79,kalam maramudaiyan kaasu,23 10 37 1 66 12 
80,maramudaiyan payir eṭu,37 1 65 12 53 5 
81,arimai pēr kaasu,39 9 43 14 66 12 
82,nāyakan cīlai mai,7 9 67 1 46 5 
83,vanigar pon erpatta,1 1 3 12 56 2 
84,manram taṇmai oḻi okku,90 9 60 14 70 1 33 5 
85,maramudaiyan vaḻi muttirai,37 1 24 10 2 1 
86,arimai taṇmai cīlai,39 9 60 14 67 1 
87,perun pāṇai velli,8 9 13 8 4 12 
88,vanigar cēvai oḻi mai,1 1 21 11 70 1 46 5 
89,kōṭṭai maramudaiyan kānu,57 10 37 1 20 12 
90,arimai mūlam āl,39 9 68 14 47 5 
91,ampalam kālam oḻi okku,62 9 49 14 70 1 33 5 
92,arasar nāṭṭu il,9 9 72 10 48 5 
93,vanigar mālāi tēṭu,1 1 41 12 25 2 
94,nāyakan ampalam muttirai,7 9 62 9 2 1 
95,maramudaiyan nilam cīlai,37 1 61 10 67 1 
96,ampalam payir oḻi,62 9 65 12 70 1 
97,nambi pāṇ payir,19 13 29 8 65 12 
98,vanigar cēvai muttirai okku,1 1 21 11 2 1 33 5 
99,nāṭṭu maramudaiyan kaasu mai,72 10 37 1 66 12 46 5 
100,ampalam muṭiyum eṭu,62 9 75 14 53 5 
101,makkal vāy muttirai,64 13 54 14 2 1 
102,utaiyavar pon mai,34 13 3 12 46 5 
103,vanigar pon koḷ,1 1 3 12 26 2 
104,perun mūlam cīlai,8 9 68 14 67 1 
105,maramudaiyan kadalkol oḻi okku,37 1 6 10 70 1 33 5 
106,makkal kaasu muttirai,64 13 66 12 2 1 
107,iruvar koḷlaṭai velli,35 13 32 8 4 12 
108,vanigar cēvai cīlai,1 1 21 11 67 1 
109,ur maramudaiyan kānu,10 10 37 1 20 12 
